show,axis,value,confidence,justification
The Wire,Propulsion,3,high,"Deliberately withholds momentum; a full season assembles disconnected pieces before they cohere, so the pull is structural rather than scene-to-scene."
The Wire,Scope,9,high,"Spans every layer of a city at once — corners, docks, schools, City Hall, the newsroom."
The Wire,Institutional Sweep,10,high,The definitional case: the literal subject is how institutions perpetuate themselves regardless of the people inside; each season swaps in another one.
The Wire,Interiority,1,high,Almost purely sociological — it observes behavior and by design never explains a character's inner life.
The Wire,Authorial Signature,2,high,Aggressively plain and anti-stylish; the craft is deliberately hidden.
The Wire,Verisimilitude,10,high,Reads as reported journalism; the gold standard for lived-in texture.
The Wire,Density,10,high,"Tracks nothing for the viewer — names, threads, and slang must be actively held."
The Wire,Register,2,high,"Flat, naturalistic, restrained throughout."
Andor,Propulsion,7,high,Tightly causal — the Aldhani heist and the Narkina 5 break each set the next move in motion with little idling.
Andor,Scope,8,high,"Multiple planets, the Empire and the nascent Rebellion, several social strata from Ferrix labor to Coruscant elites."
Andor,Institutional Sweep,9,high,"The ISB, the prison, the Senate, and rebel cells are all rendered as functioning machines with their own logic — systems storytelling in a Star Wars shell."
Andor,Interiority,4,medium,"Some access to Cassian and Luthen, but the mode is largely external and operational."
Andor,Authorial Signature,6,high,"A strong, quietly commanding hand — composed framing, Mon Mothma's restraint, Luthen's monologue — without showiness."
Andor,Verisimilitude,7,high,"Grounded, working-class textures and bureaucratic detail unusual for the franchise."
Andor,Density,7,high,Many factions and names tracked without hand-holding across interlocking cells.
Andor,Register,4,medium,"Mostly grounded and controlled, with occasional operatic swells (the funeral, the speech)."
Deadwood,Propulsion,4,high,"Slow and accretive; momentum comes from the camp coalescing over a season, not scene-to-scene cliffhangers."
Deadwood,Scope,6,medium,"One mining camp, but with a full social pyramid from the thoroughfare mud to the Hearst capital that reaches into it."
Deadwood,Institutional Sweep,9,high,"The birth of civic institutions — law, commerce, the press — out of lawlessness is the show's actual subject."
Deadwood,Interiority,5,medium,"Some genuine interior (Bullock's rage, Al's calculation) amid a largely external ensemble."
Deadwood,Authorial Signature,8,high,Milch's blank-verse profanity and theatrical staging are instantly recognizable.
Deadwood,Verisimilitude,8,high,"Researched and lived-in — the filth, the economics, the period cadence feel earned."
Deadwood,Density,8,high,"Dense vocabulary, large ensemble, and oblique scheming demand attention."
Deadwood,Register,8,high,"Shakespearean and operatic — but, paired with high verisimilitude, the earned high-register case."
Chernobyl,Propulsion,8,high,A countdown engine: each scene exposes the next layer of the lie and tightens the consequence.
Chernobyl,Scope,6,medium,"The plant, Pripyat, Moscow, and the mines — a wide social cross-section of the Soviet state."
Chernobyl,Institutional Sweep,8,high,"The Soviet system of denial and self-protection is the true antagonist, traced from control room to Politburo."
Chernobyl,Interiority,3,medium,Largely external; we watch institutional behavior more than inhabit any one mind.
Chernobyl,Authorial Signature,6,high,"A strong but quiet hand — the desaturated dread, the sound design, the procedural restraint."
Chernobyl,Verisimilitude,9,high,"Meticulously researched texture, from dosimetry to bureaucratic ritual."
Chernobyl,Density,7,high,Technical and political detail delivered with little hand-holding.
Chernobyl,Register,3,high,Controlled and restrained; horror conveyed through understatement.
We Own This City,Propulsion,5,medium,"Moderate pull from the dual track of the GTTF's rise and the federal investigation closing in, but it favors anatomy over cliffhanger."
We Own This City,Scope,5,medium,"One city, but spanning street corners, the BPD, the DOJ, and the politics of the drug war."
We Own This City,Institutional Sweep,9,high,"Pure systems storytelling — the unit's corruption is framed as a product of the department and the war on drugs, not a few bad actors."
We Own This City,Interiority,2,medium,"Simon's external, sociological mode; almost no inner access."
We Own This City,Authorial Signature,4,medium,"A restrained, journalistic hand — recognizably Simon, but craft kept out of the way."
We Own This City,Verisimilitude,9,high,"Built from real reporting; the procedure and patois feel reported, not invented."
We Own This City,Density,8,medium,Time-jumping structure and a large unannotated cast demand active tracking.
We Own This City,Register,3,medium,"Flat and naturalistic, anger held in check."
Babylon Berlin,Propulsion,7,medium,A conspiracy engine keeps the plot charging forward across interlocking intrigues.
Babylon Berlin,Scope,8,medium,"Weimar Berlin in full social cross-section — police, underworld, communists, aristocrats, and rising fascists."
Babylon Berlin,Institutional Sweep,6,medium,"The era's machinery (police, Reichswehr, political factions) is a real subject, though conspiracy plotting often leads."
Babylon Berlin,Interiority,5,medium,Gereon's shell-shock and morphine haze open a window inward amid a broad ensemble.
Babylon Berlin,Authorial Signature,8,medium,"Lavish, expressionist spectacle — the 'Zu Asche' cabaret set piece is a signature flourish."
Babylon Berlin,Verisimilitude,8,medium,"Obsessive period reconstruction of Weimar Berlin, richly textured."
Babylon Berlin,Density,7,medium,"Many factions, German political threads, and names to hold."
Babylon Berlin,Register,7,medium,"Heightened, maximalist, spectacle-forward."
The Shield,Propulsion,9,high,Mackey's lies compound relentlessly; the opening murder of a cop sets a debt that detonates through every later season.
The Shield,Scope,4,medium,Confined to one LA district and the Barn; the canvas is a neighborhood.
The Shield,Institutional Sweep,5,medium,"Corruption inside the department is present, but the show is about Vic more than the institution as its own machine."
The Shield,Interiority,3,medium,Largely external and propulsive; we infer rather than inhabit Vic's interior.
The Shield,Authorial Signature,4,medium,"Urgent handheld immediacy, but not auteur-conspicuous."
The Shield,Verisimilitude,7,medium,"Gritty, grounded cop-shop texture."
The Shield,Density,6,medium,Serialized and rewarding attention without being punishing.
The Shield,Register,5,medium,"Mostly grounded, escalating to operatic intensity in the late seasons."
Breaking Bad,Propulsion,10,high,Every decision detonates the next problem; the engine never idles.
Breaking Bad,Scope,3,high,Confined to one man and the people in his blast radius.
Breaking Bad,Institutional Sweep,1,high,Not about a system — about an individual's transformation.
Breaking Bad,Interiority,8,high,Lives largely inside Walt's self-justification and denial.
Breaking Bad,Authorial Signature,6,high,"A strong, controlled visual style (cold opens, motifs) without foregrounding itself."
Breaking Bad,Verisimilitude,7,high,"Grounded in plausible procedure, with some operatic heightening late."
Breaking Bad,Density,6,high,Rewards attention and serialization but remains accessible.
Breaking Bad,Register,4,high,"Mostly grounded, with escalating operatic flourishes."
Better Call Saul,Propulsion,7,high,"A patient burn, but every Jimmy choice and Chuck slight tightens the road to Saul — consequence, not speed, drives it."
Better Call Saul,Scope,4,high,"Albuquerque law and cartel orbits; a small, contained canvas."
