show,axis,value,confidence,justification,model
The Wire,Propulsion,3,high,"Deliberately withholds momentum; a season assembles disconnected pieces — wiretaps, corner crews, dockworkers — before they cohere, so the pull is structural rather than scene-to-scene cliffhangers.",claude-opus-4-8
The Wire,Scope,9,high,"Spans every layer of Baltimore — the corners, the docks, City Hall, the schools, and the newsroom — each season widening to another stratum.",claude-opus-4-8
The Wire,Institutional Sweep,10,high,"The definitional case: the real subject is how the police department, drug trade, port union, and city government perpetuate themselves regardless of who occupies them.",claude-opus-4-8
The Wire,Interiority,1,high,"Almost purely sociological; we watch what McNulty, Avon, or Stringer do and are rarely taken inside their consciousness or given soliloquy-style inner access.",claude-opus-4-8
The Wire,Authorial Signature,2,high,"Aggressively plain and anti-stylish — flat coverage, no showy camera or musical heightening (save the diegetic season-end montages); the craft is hidden by design.",claude-opus-4-8
The Wire,Verisimilitude,10,high,"Reads as reported journalism — the procedural detail of building a wiretap case, the bureaucratic 'juking the stats,' and the corner slang feel directly observed.",claude-opus-4-8
The Wire,Density,10,high,"Tracks nothing for the viewer; dozens of names, slang, and slow-building cross-institutional threads must be actively held with no recaps or exposition crutches.",claude-opus-4-8
The Wire,Register,2,high,"Flat, naturalistic, and restrained — deaths and betrayals are played cool with no swelling score or melodramatic heightening despite life-or-death stakes.",claude-opus-4-8
Andor,Propulsion,7,high,"The heist arc and the Narkina 5 prison break escalate relentlessly, each tightening the noose, though the show takes deliberate breath-taking pauses (the Ferrix funeral build) that slow the engine.",claude-opus-4-8
Andor,Scope,8,high,"Spans Ferrix, Coruscant's Senate, the ISB, Aldhani, the Narkina prison and rebel cells across the galaxy, layering imperial bureaucracy against grassroots resistance.",claude-opus-4-8
Andor,Institutional Sweep,9,high,"The ISB's careerist infighting, the prison's industrial logic, and the Senate are all dramatized as self-perpetuating machines that function independent of any single character.",claude-opus-4-8
Andor,Interiority,4,medium,"We mostly observe Cassian and Luthen from outside; Maarva's recorded eulogy and Luthen's 'sunrise' speech give glimpses of inner conviction, but the mode is largely behavioral.",claude-opus-4-8
Andor,Authorial Signature,6,medium,"A strong, controlled hand—Tony Gilroy's patient blocking, the brutalist Coruscant design and Nicholas Britell's score—commands quietly without showy formal tricks.",claude-opus-4-8
Andor,Verisimilitude,7,high,"The granular bureaucratic procedure of the ISB, the labor texture of Ferrix, and the prison's assembly-line cruelty feel researched and lived-in despite the fantastical setting.",claude-opus-4-8
Andor,Density,7,high,"Multiple factions, agents and aliases (Axis, Cassian/Clem, ISB officers) must be tracked across parallel threads with minimal exposition or recap.",claude-opus-4-8
Andor,Register,4,medium,"Largely restrained and naturalistic in performance, though Luthen's monologue and Maarva's funeral push toward operatic heightening at key moments.",claude-opus-4-8
Deadwood,Propulsion,4,high,"The show prefers slow accretion — camp politics, claim disputes, and shifting alliances build laterally rather than each scene detonating the next; momentum comes from accumulating tension, not cliffhangers.",claude-opus-4-8
